timestamp,subject_id,subject_name,assignment_number,word_number,word
2025-08-14T12:16:50,S-005,Tile Monkey,1,900,tremulous
2025-08-14T12:24:04,S-001,Wife Platypus,1,693,pillory
2025-08-14T12:27:53,S-001,Wife Platypus,2,344,fecund
2025-08-14T12:30:08,S-004,Strengths Fox,1,490,jocose
2025-08-14T13:00:19,S-002,Pads Rabbit,1,157,charlatan
2025-08-14T13:00:22,S-002,Pads Rabbit,2,155,chagrin
2025-08-14T13:00:24,S-002,Pads Rabbit,3,301,entropy
2025-08-14T13:00:27,S-002,Pads Rabbit,4,362,flout
2025-08-14T13:00:29,S-002,Pads Rabbit,5,64,approbation
2025-08-14T13:00:32,S-002,Pads Rabbit,6,406,hardscrabble
2025-08-14T13:00:34,S-002,Pads Rabbit,7,807,ruminate
2025-08-14T13:00:37,S-002,Pads Rabbit,8,855,subcutaneous
2025-08-14T13:00:39,S-002,Pads Rabbit,9,521,lexicon
2025-08-14T13:00:42,S-002,Pads Rabbit,10,683,perspicacious
2025-08-14T13:00:45,S-010,Dependence Silver Fox,1,732,protrusion
2025-08-14T13:00:47,S-010,Dependence Silver Fox,2,562,mercurial
2025-08-14T13:00:50,S-010,Dependence Silver Fox,3,554,maudlin
2025-08-14T13:00:52,S-010,Dependence Silver Fox,4,235,deprivation
2025-08-14T13:00:55,S-010,Dependence Silver Fox,5,170,cloying
2025-08-14T13:00:57,S-010,Dependence Silver Fox,6,282,effusive
2025-08-14T13:01:00,S-010,Dependence Silver Fox,7,9,abscond
2025-08-14T13:01:03,S-010,Dependence Silver Fox,8,689,philander
2025-08-14T13:01:05,S-010,Dependence Silver Fox,9,860,supercilious
2025-08-14T13:01:08,S-010,Dependence Silver Fox,10,781,regurgitate
2025-08-14T13:01:11,S-012,Bear Chameleon,1,140,cachet
2025-08-14T13:01:13,S-012,Bear Chameleon,2,172,coercive
2025-08-14T13:01:16,S-012,Bear Chameleon,3,174,cognizant
2025-08-14T13:01:19,S-012,Bear Chameleon,4,621,obstinate
2025-08-14T13:01:21,S-012,Bear Chameleon,5,919,untenable
2025-08-14T13:01:24,S-012,Bear Chameleon,6,854,stupefy
2025-08-14T13:01:27,S-012,Bear Chameleon,7,114,besot
2025-08-14T13:01:29,S-012,Bear Chameleon,8,582,moribund
2025-08-14T13:01:32,S-012,Bear Chameleon,9,776,redoubt
2025-08-14T13:01:35,S-012,Bear Chameleon,10,952,viscous
2025-08-14T13:01:37,S-009,Juice Panther,1,845,sprat
